WARNING: ../pv2stall/pv2stall-sim.v:154: $readmemh: Standard inconsistency, following 1364-2005.
VCD info: dumpfile ../tests/build/vmh/parcv1-sw.vcd opened for output.
{ xxxxxxxx |        |        |        |        }
{ 000801e8 |  nop   |  addiu |  (-_-) |  (-_-) }
{ 000801ec |  nop   |  nop   |  addiu |  (-_-) }
{#000801f0 |# sw    |  nop   |  nop   |  addiu }
{ 000801f0 |  sw    |  (-_-) |  nop   |  nop   }
{ 000801f4 |  lw    |  sw    |  (-_-) |  nop   }
{ 000801f8 |  addiu |  lw    |  sw    |  (-_-) }
{ 000801fc |  lui   |  addiu |  lw    |  sw    }
{#00080200 |# ori   |  lui   |  addiu |  lw    }
{#00080200 |# ori   |  (-_-) |  lui   |  addiu }
{#00080200 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080200 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080204 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080204 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080204 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080204 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080208 |  lui   |  bne   |  (-_-) |  (-_-) }
{#0008020c |# ori   |  lui   |  bne   |  (-_-) }
{#0008020c |# ori   |  (-_-) |  lui   |  bne   }
{#0008020c |# ori   |  (-_-) |  (-_-) |  lui   }
{ 0008020c |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 00080210 |  lui   |  ori   |  (-_-) |  (-_-) }
{#00080214 |# addiu |  lui   |  ori   |  (-_-) }
{#00080214 |# addiu |  (-_-) |  lui   |  ori   }
{#00080214 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080214 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 00080218 |  nop   |  addiu |  (-_-) |  (-_-) }
{ 0008021c |  nop   |  nop   |  addiu |  (-_-) }
{ 00080220 |  nop   |  nop   |  nop   |  addiu }
{ 00080224 |  sw    |  nop   |  nop   |  nop   }
{ 00080228 |  lw    |  sw    |  nop   |  nop   }
{ 0008022c |  addiu |  lw    |  sw    |  nop   }
{ 00080230 |  lui   |  addiu |  lw    |  sw    }
{#00080234 |# ori   |  lui   |  addiu |  lw    }
{#00080234 |# ori   |  (-_-) |  lui   |  addiu }
{#00080234 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080234 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080238 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080238 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080238 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080238 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 0008023c |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080240 |# ori   |  lui   |  bne   |  (-_-) }
{#00080240 |# ori   |  (-_-) |  lui   |  bne   }
{#00080240 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080240 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 00080244 |  lui   |  ori   |  (-_-) |  (-_-) }
{#00080248 |# addiu |  lui   |  ori   |  (-_-) }
{#00080248 |# addiu |  (-_-) |  lui   |  ori   }
{#00080248 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080248 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008024c |  nop   |  addiu |  (-_-) |  (-_-) }
{ 00080250 |  nop   |  nop   |  addiu |  (-_-) }
{ 00080254 |  nop   |  nop   |  nop   |  addiu }
{ 00080258 |  nop   |  nop   |  nop   |  nop   }
{ 0008025c |  sw    |  nop   |  nop   |  nop   }
{ 00080260 |  lw    |  sw    |  nop   |  nop   }
{ 00080264 |  addiu |  lw    |  sw    |  nop   }
{ 00080268 |  lui   |  addiu |  lw    |  sw    }
{#0008026c |# ori   |  lui   |  addiu |  lw    }
{#0008026c |# ori   |  (-_-) |  lui   |  addiu }
{#0008026c |# ori   |  (-_-) |  (-_-) |  lui   }
{ 0008026c |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080270 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080270 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080270 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080270 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080274 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080278 |# ori   |  lui   |  bne   |  (-_-) }
{#00080278 |# ori   |  (-_-) |  lui   |  bne   }
{#00080278 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080278 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 0008027c |  lui   |  ori   |  (-_-) |  (-_-) }
{#00080280 |# addiu |  lui   |  ori   |  (-_-) }
{#00080280 |# addiu |  (-_-) |  lui   |  ori   }
{#00080280 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080280 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 00080284 |  nop   |  addiu |  (-_-) |  (-_-) }
{ 00080288 |  nop   |  nop   |  addiu |  (-_-) }
{ 0008028c |  nop   |  nop   |  nop   |  addiu }
{ 00080290 |  sw    |  nop   |  nop   |  nop   }
{ 00080294 |  lw    |  sw    |  nop   |  nop   }
{ 00080298 |  addiu |  lw    |  sw    |  nop   }
{ 0008029c |  lui   |  addiu |  lw    |  sw    }
{#000802a0 |# ori   |  lui   |  addiu |  lw    }
{#000802a0 |# ori   |  (-_-) |  lui   |  addiu }
{#000802a0 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000802a0 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000802a4 |# bne   |  ori   |  (-_-) |  (-_-) }
{#000802a4 |# bne   |  (-_-) |  ori   |  (-_-) }
{#000802a4 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 000802a4 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 000802a8 |  addiu |  bne   |  (-_-) |  (-_-) }
{ 000802ac |  nop   |  addiu |  bne   |  (-_-) }
{ 000802b0 |  lui   |  nop   |  addiu |  bne   }
{#000802b4 |# addiu |  lui   |  nop   |  addiu }
{#000802b4 |# addiu |  (-_-) |  lui   |  nop   }
{#000802b4 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000802b4 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#000802b8 |# sw    |  addiu |  (-_-) |  (-_-) }
{#000802b8 |# sw    |  (-_-) |  addiu |  (-_-) }
{#000802b8 |# sw    |  (-_-) |  (-_-) |  addiu }
{ 000802b8 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 000802bc |  lw    |  sw    |  (-_-) |  (-_-) }
{ 000802c0 |  addiu |  lw    |  sw    |  (-_-) }
{ 000802c4 |  addiu |  addiu |  lw    |  sw    }
{#000802c8 |# bne   |  addiu |  addiu |  lw    }
{#000802c8 |# bne   |  (-_-) |  addiu |  addiu }
{#000802c8 |# bne   |  (-_-) |  (-_-) |  addiu }
{ 000802c8 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 000802cc |  addiu |  bne   |  (-_-) |  (-_-) }
{ 000802d0 |  nop   |  addiu |  bne   |  (-_-) }
{ 000802d4 |  lui   |  nop   |  addiu |  bne   }
{#000802d8 |# addiu |  lui   |  nop   |  addiu }
{#000802d8 |# addiu |  (-_-) |  lui   |  nop   }
{#000802d8 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000802d8 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 000802dc |  nop   |  addiu |  (-_-) |  (-_-) }
{#000802e0 |# sw    |  nop   |  addiu |  (-_-) }
{#000802e0 |# sw    |  (-_-) |  nop   |  addiu }
{ 000802e0 |  sw    |  (-_-) |  (-_-) |  nop   }
{ 000802e4 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 000802e8 |  addiu |  lw    |  sw    |  (-_-) }
{#000802ec |# bne   |  addiu |  lw    |  sw    }
{#000802ec |# bne   |  (-_-) |  addiu |  lw    }
{ 000802ec |  bne   |  (-_-) |  (-_-) |  addiu }
{ 000802f0 |  lui   |  bne   |  (-_-) |  (-_-) }
{#000802f4 |# addiu |  lui   |  bne   |  (-_-) }
{#000802f4 |# addiu |  (-_-) |  lui   |  bne   }
{#000802f4 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000802f4 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 000802f8 |  lui   |  addiu |  (-_-) |  (-_-) }
